,,,,,,,
,All Time Recipient Referral Source,,,,,,
,As of 2023-01-25 10:48:51 Eastern Standard Time/EST • Generated by SF Admin,,,,,,
,,,,,,,
,,,,,,,
,Filtered By,,,,,,
,Show: All accounts,,,,,,
,"Contact Record Type equals Universal Contact,Recipient",,,,,,
,,,,,,,
,Mailing City,,Mailing State/Province,Mailing Zip/Postal Code,Referral Agency,Additional Referral Info,
,Newton,,MA,02459,Newton Department of Senior Services,COA,
,Auburndale,,MA,02466,Newton Department of Senior Services,"COA. Joan, a friend of May's, referred her. Joan read Coming of Age. Joan's info is 617-244-8054",
,Newton,,MA,02458,Newton Department of Senior Services,,
,Brookline,,MA,02445,Newton Department of Senior Services,,
,Newton Center,,MA,02459,Newton Department of Senior Services,,
,Newtonville,,MA,02460,Newton Department of Senior Services,,
,Newton,,MA,02458,Newton Department of Senior Services,,
,Chestnut Hill,,MA,02467,Newton Department of Senior Services,,
,West Newton,,MA,02465,Newton Department of Senior Services,,
,Newton,,MA,02458,Newton Department of Senior Services,,
,Newton Centre,,MA,02459,Newton Department of Senior Services,NSC. Julie knew of Kathy prior to the pilot.,
,West Newton,,MA,02465,Newton Department of Senior Services,"COA. Heard through Coming of Age, and called the senior center.",
,West Newton,,MA,02465,Newton Department of Senior Services,NSC. Julie knew Mary prior to the launch of the pilot.,
,Newton,,MA,02460,Newton Department of Senior Services,NSC. Emily knew Virginia prior to the launch of the pilot.,
,Newton,,MA,02459,Newton Department of Senior Services,NSC. Sally is recipient's sister. Learned about the program through NSC somehow.,
,Newton,,MA,02465,Newton Department of Senior Services,,
,Auburndale,,MA,02466,Newton Department of Senior Services,,
,West Newton,,MA,02465,Newton Department of Senior Services,,
,Newton,,MA,02461,Newton Department of Senior Services,,
,Newtonville,,MA,02460,Newton Department of Senior Services,NSC.,
,Newton,,MA,,Newton Department of Senior Services,"Elder saw the FV announcement though Newton's Coming of Age newsletter, and called to see if a telefriend program was available in Newton.",
,Newton,,MA,02460,Newton Department of Senior Services,NSC. Referred her after Toni called about transportation inquiry.,
,Newton,,MA,02459,Newton Department of Senior Services,LGBTQ Elder Cafe,
